primaryTitle,primaryName
Mr. and Mrs. Iyer,N. Venkatesan
Mr. and Mrs. Iyer,Zakir Hussain
Mr. and Mrs. Iyer,Goutam Ghose
Day of the Wacko,Ewa Smal
Day of the Wacko,Marek Kondrat
Day of the Wacko,Janina Traczykówna
Day of the Wacko,Andrzej Grabowski
Day of the Wacko,Michal Koterski
Day of the Wacko,Marek Koterski
Day of the Wacko,Juliusz Machulski
Day of the Wacko,Wlodzimierz Otulak
Day of the Wacko,Jerzy Satanowski
Day of the Wacko,Jacek Blawut
Edifício Master,Fernando José
Edifício Master,Eduardo Coutinho
Edifício Master,Jacques Cheuiche
Edifício Master,Jordana Berg
Stevie,William Haugse
Stevie,Steve James
Stevie,Stephen Fielding
Stevie,Tonya Gregory
Stevie,Bernice Hagler
Stevie,Gordon Quinn
Stevie,Adam Singer
Stevie,Dirk Powell
Stevie,Peter Gilbert
Stevie,Dana Kupper
Eternal Sunshine of the Spotless Mind,Jon Brion
Eternal Sunshine of the Spotless Mind,Jim Carrey
Eternal Sunshine of the Spotless Mind,Kate Winslet
Eternal Sunshine of the Spotless Mind,Tom Wilkinson
Eternal Sunshine of the Spotless Mind,Gerry Robert Byrne
Eternal Sunshine of the Spotless Mind,Michel Gondry
Eternal Sunshine of the Spotless Mind,Charlie Kaufman
Eternal Sunshine of the Spotless Mind,Pierre Bismuth
Eternal Sunshine of the Spotless Mind,Anthony Bregman
Eternal Sunshine of the Spotless Mind,Steve Golin
Infernal Affairs,Yiu-Fai Lai
Infernal Affairs,Andy Lau
Infernal Affairs,Tony Chiu-Wai Leung
Infernal Affairs,Anthony Chau-Sang Wong
Infernal Affairs,Eric Tsang
Infernal Affairs,Andrew Lau Wai-Keung
Infernal Affairs,Alan Mak
Infernal Affairs,Felix Chong
Infernal Affairs,Kwong Wing Chan
Infernal Affairs,Ronald Ng
The Professional,Marko Glusac
The Professional,Bora Todorovic
The Professional,Branislav Lecic
The Professional,Natasa Ninkovic
The Professional,Dragan Jovanovic
The Professional,Dusan Kovacevic
